city,city_ar,region,population
Riyadh,الرياض,Riyadh,7676654
Jeddah,جدة,Makkah,4697000
Mecca,مكة المكرمة,Makkah,2042000
Medina,المدينة المنورة,Madinah,1488000
Dammam,الدمام,Eastern,1532300
Taif,الطائف,Makkah,688693
Tabuk,تبوك,Tabuk,667000
Buraidah,بريدة,Qassim,699057
Khobar,الخبر,Eastern,652070
Abha,أبها,Asir,500000
